Date,Average Temperature,Minimum Temperature,Maximum Temperature,Day,Month,Year
2014-01-23,22.3,17,28,23,01,2014
2014-01-24,23.6,17,29,24,01,2014
2014-01-25,24.3,20,30,25,01,2014
2014-01-26,24.4,20,31,26,01,2014
2014-01-27,25.2,19,32,27,01,2014
2014-01-28,24.9,21,31,28,01,2014
2014-01-29,25.4,20,32,29,01,2014
2014-01-30,24.6,20,30,30,01,2014
2014-01-31,24.8,18,32,31,01,2014
2014-02-01,24.6,19,32,01,02,2014
2014-02-02,24.6,21,30,02,02,2014
2014-02-03,25.4,21,31,03,02,2014
2014-02-04,25.1,19,32,04,02,2014
2014-02-05,25.4,22,31,05,02,2014
2014-02-06,25.4,22,32,06,02,2014
2014-02-07,25.7,20,32,07,02,2014
2014-02-08,25.8,22,32,08,02,2014
2014-02-09,26.3,21,33,09,02,2014
2014-02-10,26.8,21,33,10,02,2014
2014-02-11,26.4,23,32,11,02,2014
2014-02-12,26.6,22,32,12,02,2014
2014-02-13,26.9,22,32,13,02,2014
2014-02-14,26.6,22,33,14,02,2014
2014-02-15,26.8,21,33,15,02,2014
2014-02-16,26.6,22,33,16,02,2014
2014-02-17,25.9,23,32,17,02,2014
2014-02-18,26,21,33,18,02,2014
2014-02-19,26.3,23,32,19,02,2014
2014-02-20,26.7,21,33,20,02,2014
2014-02-21,26.6,21,32,21,02,2014
2014-02-22,26.6,22,32,22,02,2014
2014-02-23,25.8,23,33,23,02,2014
2014-02-24,26.3,21,33,24,02,2014
2014-02-25,26.4,21,32,25,02,2014
2014-02-26,26.6,22,32,26,02,2014
2014-02-27,27.1,23,33,27,02,2014
2014-02-28,26.8,22,35,28,02,2014
2014-03-01,26.2,22,32,01,03,2014
2014-03-02,26.7,23,32,02,03,2014
2014-03-03,26.6,23,33,03,03,2014
2014-03-04,26.5,23,32,04,03,2014
2014-03-05,26.9,23,33,05,03,2014
2014-03-06,27,22,35,06,03,2014
2014-03-07,27.4,23,33,07,03,2014
2014-03-08,27.8,23,32,08,03,2014
2014-03-09,27.9,24,34,09,03,2014
2014-03-10,28.4,24,36,10,03,2014
2014-03-11,29,23,36,11,03,2014
2014-03-12,28.6,24,37,12,03,2014
2014-03-13,28.7,23,36,13,03,2014
2014-03-14,29.3,25,35,14,03,2014
2014-03-15,30,24,36,15,03,2014
2014-03-16,30.6,26,37,16,03,2014
2014-03-17,30.4,27,35,17,03,2014
2014-03-18,29.4,26,35,18,03,2014
2014-03-19,28.4,25,34,19,03,2014
2014-03-20,29.9,25,36,20,03,2014
2014-03-21,28.2,26,32,21,03,2014
2014-03-22,29.8,23,36,22,03,2014
2014-03-23,29.8,25,36,23,03,2014
2014-03-24,29.9,24,36,24,03,2014
2014-03-25,28.7,24,32,25,03,2014
2014-03-26,30.2,26,36,26,03,2014
2014-03-27,30.2,27,37,27,03,2014
2014-03-28,29.6,24,36,28,03,2014
2014-03-29,29.8,24,32,29,03,2014
2014-03-30,29.8,25,35,30,03,2014
2014-03-31,30,24,36,31,03,2014
2014-04-01,29.8,27,36,01,04,2014
2014-04-02,30.4,26,36,02,04,2014
2014-04-03,30.7,27,34,03,04,2014
2014-04-04,29.4,27,35,04,04,2014
2014-04-05,29.6,27,35,05,04,2014
2014-04-06,28.7,24,36,06,04,2014
2014-04-07,27.6,24,32,07,04,2014
2014-04-08,27.9,25,33,08,04,2014
2014-04-09,29.8,25,36,09,04,2014
2014-04-10,29.4,27,34,10,04,2014
2014-04-11,29.1,27,35,11,04,2014
2014-04-12,29.4,26,35,12,04,2014
2014-04-13,29.8,27,34,13,04,2014
2014-04-14,29.4,27,35,14,04,2014
2014-04-15,28.4,26,33,15,04,2014
2014-04-16,28.6,25,35,16,04,2014
2014-04-17,29.4,26,34,17,04,2014
2014-04-18,29.6,27,35,18,04,2014
2014-04-19,30.2,26,34,19,04,2014
2014-04-20,30.1,26,33,20,04,2014
2014-04-21,30.4,27,34,21,04,2014
2014-04-22,29.7,27,35,22,04,2014
2014-04-23,30.9,26,34,23,04,2014
2014-04-24,30.6,28,35,24,04,2014
2014-04-25,30.6,26,37,25,04,2014
2014-04-26,30.6,24,34,26,04,2014
2014-04-27,31.1,24,31,27,04,2014
2014-04-28,28.9,27,34,28,04,2014
2014-04-29,27.8,24,34,29,04,2014
2014-04-30,26.8,24,31,30,04,2014
2014-05-01,28.8,25,33,01,05,2014
2014-05-02,27.2,26,34,02,05,2014
2014-05-03,28.6,24,34,03,05,2014
2014-05-04,30.1,25,36,04,05,2014
2014-05-05,30.9,27,36,05,05,2014
2014-05-06,31.3,25,36,06,05,2014
2014-05-07,30.1,26,37,07,05,2014
2014-05-08,30.4,26,34,08,05,2014
2014-05-09,30.6,26,35,09,05,2014
2014-05-10,30,26,34,10,05,2014
2014-05-11,30.6,24,34,11,05,2014
2014-05-12,28.6,27,35,12,05,2014
2014-05-13,31.3,25,36,13,05,2014
2014-05-14,30.5,28,36,14,05,2014
