Date,Average Temperature,Minimum Temperature,Maximum Temperature,Day,Month,Year
1/23/2014,22.3,17,28,23,1,2014
1/24/2014,23.6,17,29,24,1,2014
1/25/2014,24.3,20,30,25,1,2014
1/26/2014,24.4,20,31,26,1,2014
1/27/2014,25.2,19,32,27,1,2014
1/28/2014,24.9,21,31,28,1,2014
1/29/2014,25.4,20,32,29,1,2014
1/30/2014,24.6,20,30,30,1,2014
1/31/2014,24.8,18,32,31,1,2014
2/1/2014,24.6,19,32,1,2,2014
2/2/2014,24.6,21,30,2,2,2014
2/3/2014,25.4,21,31,3,2,2014
2/4/2014,25.1,19,32,4,2,2014
2/5/2014,25.4,22,31,5,2,2014
2/6/2014,25.4,22,32,6,2,2014
2/7/2014,25.7,20,32,7,2,2014
2/8/2014,25.8,22,32,8,2,2014
2/9/2014,26.3,21,33,9,2,2014
2/10/2014,26.8,21,33,10,2,2014
2/11/2014,26.4,23,32,11,2,2014
2/12/2014,26.6,22,32,12,2,2014
2/13/2014,26.9,22,32,13,2,2014
2/14/2014,26.6,22,33,14,2,2014
2/15/2014,26.8,21,33,15,2,2014
2/16/2014,26.6,22,33,16,2,2014
2/17/2014,25.9,23,32,17,2,2014
2/18/2014,26,21,33,18,2,2014
2/19/2014,26.3,23,32,19,2,2014
2/20/2014,26.7,21,33,20,2,2014
2/21/2014,26.6,21,32,21,2,2014
2/22/2014,26.6,22,32,22,2,2014
2/23/2014,25.8,23,33,23,2,2014
2/24/2014,26.3,21,33,24,2,2014
2/25/2014,26.4,21,32,25,2,2014
2/26/2014,26.6,22,32,26,2,2014
2/27/2014,27.1,23,33,27,2,2014
2/28/2014,26.8,22,35,28,2,2014
3/1/2014,26.2,22,32,1,3,2014
3/2/2014,26.7,23,32,2,3,2014
3/3/2014,26.6,23,33,3,3,2014
3/4/2014,26.5,23,32,4,3,2014
3/5/2014,26.9,23,33,5,3,2014
3/6/2014,27,22,35,6,3,2014
3/7/2014,27.4,23,33,7,3,2014
3/8/2014,27.8,23,32,8,3,2014
3/9/2014,27.9,24,34,9,3,2014
3/10/2014,28.4,24,36,10,3,2014
3/11/2014,29,23,36,11,3,2014
3/12/2014,28.6,24,37,12,3,2014
3/13/2014,28.7,23,36,13,3,2014
3/14/2014,29.3,25,35,14,3,2014
3/15/2014,30,24,36,15,3,2014
3/16/2014,30.6,26,37,16,3,2014
3/17/2014,30.4,27,35,17,3,2014
3/18/2014,29.4,26,35,18,3,2014
3/19/2014,28.4,25,34,19,3,2014
3/20/2014,29.9,25,36,20,3,2014
3/21/2014,28.2,26,32,21,3,2014
3/22/2014,29.8,23,36,22,3,2014
3/23/2014,29.8,25,36,23,3,2014
3/24/2014,29.9,24,36,24,3,2014
3/25/2014,28.7,24,32,25,3,2014
3/26/2014,30.2,26,36,26,3,2014
3/27/2014,30.2,27,37,27,3,2014
3/28/2014,29.6,24,36,28,3,2014
3/29/2014,29.8,24,32,29,3,2014
3/30/2014,29.8,25,35,30,3,2014
3/31/2014,30,24,36,31,3,2014
